product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3167626,7610034506824,TransGourmet,"[""Crevetten Black Tiger 21/25""]",1000,g,1000.0,g,,,,,{},{}
3167627,7610034507005,Transgourmet,"[""Crevetten Black Tiger 31/40""]",1000,g,1000.0,g,,,,,"{""de"": ""4""}",{}
3167628,7610034507050,Quality,"[""Karotten geraffelt""]",500,g,500.0,g,,,,,{},{}
3167629,7610034507197,Prodega,"[""ASC Pengasius Fisch Rückenfilet 100-140g""]",,,,,,,,,"{""de"": ""3""}",{}
3167630,7610034507272,Transgourmet,"[""Schweizer Freilandeier""]",,,,,,,,,"{""de"": ""7"", ""en"": ""4""}",{}
3167631,7610034507289,Schweiz,"[""Eier Freiland""]",0,,,,,,,,{},{}
3167632,7610034507555,Bio,"[""Jogurt vom napf""]",90,,90.0,g,,,,,{},{}
3167633,7610034507722,Transgourmet,"[""lait drink""]",1500.0,ml,1500.0,ml,,,ml,"{""0"": 45.900000000000006, ""1"": 1.5, ""2"": 0.9, ""3"": 4.9, ""4"": 4.9, ""6"": 3.2, ""7"": 0.1, ""8"": 40000.0}","{""fr"": ""5""}",{}
3167634,7610034507746,,"[""Lait entier uht""]",1500.0,ml,1500.0,ml,,,ml,"{""0"": 64.80000000000001, ""1"": 3.6, ""2"": 2.2, ""3"": 4.9, ""4"": 4.9, ""6"": 3.2, ""7"": 0.1, ""8"": 40000.0}","{""fr"": ""3""}",{}
3167635,7610034507890,Transgourmet,"[""Sauce de rôti liée""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
3167636,7610034507913,,"[""Bouillon de bœuf""]",,,,,,,,,{},"{""en"": ""3""}"
3167637,7610034508248,,"[""Mozzarella di Bufala Campana""]",500,g,500.0,g,,,g,"{""0"": 256.0, ""1"": 22.0, ""2"": 15.0, ""3"": 0.5, ""4"": 0.5, ""6"": 14.0, ""7"": 0.7, ""8"": 280000.0}","{""fr"": ""3""}",{}
3167638,7610034508422,,"[""Meeresfrüchte""]",800,g,800.0,g,,,,,{},{}
3167639,7610034508699,"Bofrost, Prodega","[""Tilapi Fisch-Filet 80-120g""]",1000,g,1000.0,g,,,,,"{""de"": ""3""}",{}
3167640,7610034508736,Transgourmet,"[""Mozzarella di Bufala Campana""]",,,,,,,g,"{""0"": 256.4, ""1"": 22.0, ""3"": 0.6, ""6"": 14.0, ""7"": 0.4, ""8"": 160000.0}","{""fr"": ""3""}",{}
